repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,55,22223956.22668862,22223956.22668863,22223956.22668863,66,66,0,1.0191295146942139,0.4255542755126953,0.5935752391815186,0,"[84.0, 10.0, 205.0, 2091.0, 44.0, -0.0]"
0,56,22869762.527997322,22869762.527997352,22869762.527997352,83,83,0,1.6540441513061523,0.9149434566497803,0.7391006946563721,0,"[57.0, 5.0, 227.0, 2096.0, 45.0, 24.0]"
0,57,29005885.51427178,29005885.51427179,29005885.514271792,46,46,0,0.6196150779724121,0.21367573738098145,0.40593934059143066,0,"[83.0, -0.0, 242.0, -0.0, 55.0, 9.0]"
0,58,28138677.498737667,28138677.498737667,28138677.498737663,51,51,0,0.7773327827453613,0.2349071502685547,0.5424256324768066,0,"[94.0, 2.0, 230.0, -0.0, 53.0, -0.0]"
0,59,24355663.033161387,24355663.033161383,24355663.033161387,69,69,0,1.2862427234649658,0.6438136100769043,0.6424291133880615,0,"[90.0, -0.0, 235.0, 2995.0, 49.0, -0.0]"
0,60,25298563.24519529,25298563.24519529,25298563.24519529,52,52,0,0.8199734687805176,0.36165380477905273,0.45831966400146484,0,"[92.0, -0.0, 248.0, 1864.0, 48.0, -0.0]"
0,61,26858183.452747744,26858183.45274774,26858183.452747747,52,52,0,0.8400065898895264,0.37346482276916504,0.46654176712036133,0,"[83.0, -0.0, 247.0, 3019.0, 50.0, -0.0]"
0,62,25634222.218595367,25634222.218595378,25634222.218595378,50,50,0,0.6467337608337402,0.2175610065460205,0.4291727542877197,0,"[117.0, -0.0, 249.0, -0.0, 40.0, -0.0]"
0,63,26689027.035384685,26689027.03538469,26689027.03538469,47,47,0,0.7009973526000977,0.238983154296875,0.46201419830322266,0,"[86.0, 1.0, 247.0, -0.0, 48.0, -0.0]"
0,64,28782656.261584196,28782656.261584193,28782656.261584193,47,47,0,0.6915502548217773,0.2234189510345459,0.46813130378723145,0,"[85.0, -0.0, 246.0, -0.0, 50.0, -0.0]"
0,65,31761084.96576832,31761084.965768304,31761084.965768307,45,45,0,0.5810232162475586,0.18075823783874512,0.4002649784088135,0,"[98.0, 9.0, 252.0, -0.0, 63.0, -0.0]"
0,66,29595966.32218412,29595966.322184138,29595966.322184138,46,46,0,0.5953032970428467,0.17722821235656738,0.4180750846862793,0,"[90.0, -0.0, 244.0, -0.0, 58.0, -0.0]"
0,67,29182532.939268067,29182532.93926809,29182532.93926809,42,42,0,0.5472002029418945,0.16768765449523926,0.3795125484466553,0,"[105.0, -0.0, 246.0, -0.0, 57.0, -0.0]"
0,68,31953416.090164635,31953416.09016464,31953416.09016464,40,40,0,0.5224745273590088,0.16719841957092285,0.35527610778808594,0,"[122.0, -0.0, 249.0, -0.0, 59.0, -0.0]"
0,69,29622795.34574333,29622795.345743325,29622795.345743325,42,42,0,0.562321662902832,0.19565105438232422,0.3666706085205078,0,"[99.0, -0.0, 256.0, -0.0, 60.0, -0.0]"
0,70,26241327.328284483,26241327.32828448,26241327.328284472,44,44,0,0.5607903003692627,0.18838810920715332,0.3724021911621094,0,"[76.0, -0.0, 233.0, -0.0, 54.0, -0.0]"
0,71,21889673.834229067,21889673.834229093,21889673.83422909,44,44,0,0.4929225444793701,0.13195586204528809,0.36096668243408203,0,"[107.0, -0.0, 205.0, -0.0, 46.0, 0.0]"
0,72,22028181.198306136,22028181.198306136,22028181.198306136,49,49,0,0.6167597770690918,0.19420099258422852,0.4225587844848633,0,"[63.0, -0.0, 186.0, -0.0, 50.0, -0.0]"
